Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
LOC105374655,8.805818033831043e-47,ATP5IF1,1.1101053240470502e-30,DNAJB3,7.245952302267507e-72,LOC102723968,2.9764304018790888e-59,BNC2,7.378330438108716e-11,TTC28,2.506354587335169e-34,DPY19L2,1.0528912684586507e-62,SGIP1,9.014579864178536e-18,SLC25A21,3.0512180397567724e-20
IGF1R,3.60808395456331e-46,LINC01970,4.978812276175623e-30,IRGC,3.1109342020789118e-71,LINC01492,4.729135678704528e-59,TMSB10,9.586783237947971e-11,SCMH1,2.1966013499664487e-33,COX7B2,3.791840346843838e-62,KMT2C,8.017470435069055e-18,LTBP1,2.850627568045623e-20
RERE,4.0842654697427704e-46,CAVIN3,9.88746465252349e-30,SMIM23,5.576052060235121e-71,USP8,1.306418771851799e-58,NFIA,1.0161359636655945e-10,NFAT5,5.8621212089560444e-33,CATSPER2,3.817045390760368e-62,CACNB4,1.3281295045565108e-17,LINC01193,3.795758661467962e-20
LOC107986770,1.4233881914718778e-45,GPX4,5.8498366977663636e-30,MIR193BHG,3.7196037977175576e-68,C20orf144,1.6745777147473807e-60,PLXDC2,1.846016855179032e-10,KDM5B,1.1138897120040673e-32,H3-3B,8.630402222694618e-63,DTNA,1.9285442793892468e-17,CNTN4,3.111422442133238e-19
LOC101927026,3.52765836836013e-45,RPL39L,4.282998915014202e-30,CFAP20,5.190792977166194e-67,LOC107985239,3.80265133419373e-58,RHOBTB3,2.025311726341067e-10,LOC100507384,1.776608409376976e-32,CETN3,2.729934372988323e-61,MACF1,3.231228275095674e-17,LINGO2,4.391960319163761e-19
ATP2B1,2.0220941692853874e-44,ALKBH7,4.9522960096942753e-29,LOC730098,1.6262708221433915e-71,TSBP1,2.1424902715507275e-57,PTGDS,2.594336125604945e-10,CHD9,1.3973222282757618e-32,NDUFC1,8.166009206610014e-63,NCOA2,5.2842584491135754e-17,TMEM132C,1.209516535336314e-18
PTPRG,2.672591306991204e-44,TSACC,1.8545013184989148e-28,SIRT2,5.381112014105375e-65,C4orf47,4.2009066703646525e-57,FTH1,2.547732805013221e-10,SYCP2,3.153979856483424e-32,CKS2,1.155252749587351e-60,BBX,1.241723407180796e-16,RIMS1,1.2125843276865326e-18
STAG1,7.533603504184351e-44,CETN1,2.4974978622567625e-27,NFKBIB,9.120524668771684e-64,EYS,1.1415260141827218e-58,NR2F2,2.910741982129248e-10,FMR1NB,1.3294512505978374e-30,CALM3,5.9442655348734244e-61,CADM1,1.339589860479281e-16,LOC442028,2.042450499340026e-18
MAP4K4,3.749062240907949e-43,PSENEN,5.342655149730207e-27,SPATA12,3.171170899120439e-63,INSC,3.213156023901553e-56,ITM2B,3.420648861576647e-10,GLMN,2.4017274303340956e-30,CALM2,1.7384268791728137e-59,FAM133A,1.6292660472294898e-16,PARD3,2.6195278371321007e-18
LINC01193,5.836268846585305e-43,DNAJC27-AS1,1.6589096379467345e-26,TMEM239,6.931506302810672e-63,LINC00437,3.53641997071176e-56,DCN,3.5459619584508995e-10,ANKRD62,2.247136311086399e-30,UQCR10,7.5003621368858e-60,MGAT5,1.695520550363195e-16,LOC107985675,5.3960227021135065e-18
IL1RAPL1,1.3295493425922833e-42,TTC29,3.031030546733485e-26,ATF5,2.963104660578998e-63,SPACA1,4.222399275275465e-56,S100A6,3.667205694350417e-10,RPS27A,2.804455151311401e-30,SPINK2,5.298057806137954e-59,TOX,2.420298866134718e-16,NRXN1,5.1158692443535246e-18
GTDC1,1.1602853324809293e-42,HIGD1A,2.496364465500907e-25,RNF151,5.904951270971135e-62,C1orf185,1.264872512078477e-55,STAR,3.8385956222424815e-10,TOP2A,3.6556714181571995e-29,ANKRD36C,2.9498487930285916e-58,HSD17B3,3.7008990267918387e-16,PRKN,4.544086977063628e-18
TBC1D5,3.356742231780163e-42,PACRG,2.5441610008382303e-25,CCDC70,2.6611827164743453e-61,GPR85,7.496088929639835e-54,RPL10,3.987897964636337e-10,DZIP3,1.04482596657412e-28,COX6C,5.197133118944462e-59,HELZ,3.7072132147800796e-16,FMN1,6.16563321738805e-18
LOC100507336,3.2519344014584943e-41,COX7A2,1.6220522693115697e-25,ASGR1,1.4074810016424346e-60,PRM3,9.876085068028577e-55,IFI27,4.895937542604016e-10,amplicon-chrX-CT47A1/2/3/4/5/6/7/8/9/10/11/12/B1,3.8738058353894232e-28,MKKS,1.5103583412479478e-56,APP,3.8792442013390696e-16,LINC02089,1.151405395278603e-17
ROR2,4.4215402573868487e-41,SPAG16,8.1675202485634475e-25,TMEM205,5.640118511041958e-61,LOC102723684,1.6237818570215347e-53,IGFBP7,6.015776990618945e-10,SNRPD2,2.2730861319120704e-28,SHCBP1L,3.214918139760425e-57,VSIG1,6.758371059789993e-16,ROBO2,1.0170070549637292e-17
PARD3,6.280100814428149e-41,SEM1,1.322526963187963e-24,TP53TG5,2.4013773967754928e-60,LINC00379,4.507359697579621e-53,RBMS3,1.0448436368665544e-09,MEIKIN,4.217455583622294e-28,LINC01206,3.4889355286366694e-56,LAMA2,7.06961662095352e-16,ERBB4,1.088209212646937e-17
PFN1,1.3033069193776678e-40,DYDC1,4.067190171316682e-24,LINC01061,5.49005014911701e-61,TEX38,5.511206500873064e-53,FTX,1.1738853808234859e-09,ABCA5,4.705234401462773e-28,MGAT4D,9.591834011561482e-56,SYNE1,9.222673304795957e-16,ANKS1B,2.7294134130522894e-17
RPS21,1.153159407376511e-40,C15orf61,1.4354726316889848e-23,ILRUN-AS1,3.1232766197142214e-61,LOC105373593,4.5332699472549876e-52,SPARCL1,1.6894217373802386e-09,TPST1,8.203774057780516e-28,LOC349160,2.7098376737707775e-56,MAMLD1,1.1926532002522935e-15,SORCS1,2.9862580715267e-17
PATJ,4.1713834567751935e-40,SERF1A,1.795764994626503e-22,PPP2R2B,8.845056530497095e-60,LOC105371309,3.915207091631628e-52,RPS18,1.7833331584302727e-09,COX17,1.1088192381957219e-27,ACTR3C,7.523439654080808e-56,ELL2,1.4322101248958856e-15,B3GALT1,2.5091358278200514e-17
AGMO,1.3972972253828335e-39,LOC100652758,2.1495564816198605e-22,PRM2,2.942252329020972e-59,LOC102725019,7.294453894789521e-52,MEG3,2.9382416955815235e-09,LOC105378128,1.866709227173947e-27,LDHC,2.856413159233915e-56,MYO6,1.4507851516224833e-15,MACROD2,3.8886147436051846e-17
U2SURP,1.5139712571946693e-38,LOC107984000,3.865393626421605e-21,TMEM270,9.986841010681037e-60,SMIM23,2.384180197367401e-52,HLA-A,3.575519102958365e-09,PPM1E,1.4395377976511269e-27,SPDYA,4.851421423725573e-56,SERPINA5,1.6121316359176453e-15,TMTC2,5.175843665408395e-17
TUBA1B,4.707413384269288e-38,PAOX,6.110693243379161e-21,LOC101929998,9.168638440551403e-60,LINC01911,1.698473438634793e-50,TXNIP,3.6307587337054584e-09,TMA7,2.167544093884489e-27,LOC728715,1.1787396939824464e-55,MRO,2.063688755450617e-15,PPP3CA,5.375107284161871e-17
HELLS,9.840686155280609e-38,SERF1B,6.869588285015545e-21,C20orf141,1.0942297700131933e-58,LINC01000,2.118788497865549e-52,FLRT2,3.767574293252849e-09,KCNQ1OT1,6.96551151971681e-27,SEC61G,2.840619757583318e-55,ZNF711,2.910102915336963e-15,AUTS2,5.788332802733929e-17
FAM189A1,7.628108111294413e-38,NDUFS6,7.67954996641222e-21,C20orf173,1.3190955413385342e-58,PDE6A,5.471173555669503e-50,MGP,4.400579166094556e-09,HMGB2,7.791865726220646e-27,NDUFAF3,8.269121755501516e-55,SEMA3C,2.9890077145161435e-15,KLF12,9.519785706368825e-17
LOC101927437,1.807632944702627e-37,ISOC2,1.1448089700420394e-20,TEX29,3.9480193623149964e-58,TSC22D1,1.4183193890908187e-50,TACC1,5.124230287197308e-09,TBCA,1.8974860017144766e-26,RPS17,6.683998384001612e-55,TNIK,3.0540646896752225e-15,SDK1,7.180678408205233e-17
LOC100996294,7.89907361516381e-37,CCDC146,1.6658205579770575e-20,DYNLL2,3.676734234580879e-58,SPACA3,3.042364870292589e-50,TRDN,5.315020003612772e-09,PRSS21,1.0540281540932396e-25,LARP1B,1.9413862184348822e-54,BCL2L2-PABPN1,3.019024845057341e-15,DMD,3.0890490012848814e-16
OFCC1,8.013990226340017e-37,VPS13A-AS1,2.9726059279621254e-20,LARGE-AS1,3.620866355702085e-58,LINC02842,4.0004553315740903e-50,GSTA3,6.7240046510458485e-09,LOC649133,1.4225102662202646e-25,ZNF385D,1.6472327094337928e-53,WLS,4.975772478691311e-15,UBE2E2,4.111535277914421e-16
GNAL,1.2400649257884626e-36,MAPK10,3.348883077632811e-20,CCL21,2.182424065937176e-57,AFG1L,6.050062079722073e-50,AOX1,1.0498816517652469e-08,TEX30,9.892054607802423e-26,SPATA22,4.339484646259568e-54,ASTN2,6.019445879916834e-15,NPAS3,5.830337632846528e-16
LOC107985037,2.6369476818181324e-36,CFAP299,4.069804035778605e-20,DNAJB7,5.015176366007591e-56,TMEM89,1.2182502947909278e-49,CALD1,1.5903825412382578e-08,ANKRD31,2.257926649303262e-25,GPX4,1.265832980451347e-53,CLDN11,6.379224053977114e-15,PDE4D,1.0151489427273151e-15
LINC01194,1.672714774029053e-36,CDRT15,4.955556746367806e-20,USP2-AS1,7.527735181138382e-57,C17orf50,9.721990159156458e-50,RPL41,1.7086476082366782e-08,SLMO2-ATP5E,1.574877615205071e-25,PFDN6,8.822658956735735e-52,ALG13,7.59124251286165e-15,DPP10,1.1349163204460695e-15
TAF1D,2.3443288967852074e-36,C11orf71,6.544162078012984e-20,TEX37,2.074248682994959e-55,GSTT4,1.0878814414854916e-49,SPTBN1,1.8229087083060327e-08,BUB1,8.806252238395717e-25,GTF2A2,2.0358772926972136e-51,PLCB4,8.011902630417543e-15,LRRC4C,1.3751083442625666e-15
LOC442028,3.9861778974545294e-36,amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3,3.437750735926513e-19,IQCF3,2.08642574468851e-55,LOC101927882,1.1023024898600522e-49,ACSM1,2.6069518989511595e-08,HSP90AA1,4.076276254329676e-25,MTX2,3.4116332143644774e-51,PWWP3B,9.558785736745752e-15,AFF3,1.3469647550336946e-15
PHF14,2.8569385747406525e-36,DYNLRB2,3.834053835617902e-19,ETNK1-DT,2.849778455444812e-54,LOC101928561,2.5114708131446408e-48,DHCR24,2.864349337207241e-08,DNAJC1,1.7689503165416923e-24,ANKRD18B,5.0276426343567403e-51,CDH2,1.0303856019844988e-14,NFIB,2.1301073393544024e-15
SH3RF3,6.77222344844591e-36,WDR41,4.7065047187540305e-19,PRM1,9.149565620624349e-54,SLC44A5,9.341734376101478e-49,BEX3,2.968761348841408e-08,C18orf63,3.0362062027698187e-24,DGCR5,1.2840514694156398e-50,SERINC5,1.4459625030680476e-14,DPYD,2.3862659059312313e-15
TMEM181,1.0254411849921646e-35,ADGB,8.846718014593162e-19,TSKS,2.728071678000123e-54,HMGB4,8.626485812816894e-50,EBP,3.443299779464841e-08,SPATA22,1.898694742296958e-24,RPL38,3.658447309714053e-52,SEPTIN6,1.4760318620406558e-14,ROBO1,2.4304350688861e-15
TMTC2,8.587088757450362e-36,GCSAML,2.1729720143839335e-18,MAP3K14-AS1,3.0157846746152023e-53,LYZL1,7.101788467089258e-48,AUTS2,3.342882886997138e-08,IFT88,1.8724084771486142e-24,ANKRD62,1.196311315404356e-50,MYO10,1.515841938174936e-14,BICC1,2.9225665486139374e-15
ZNF518A,8.310299614564826e-36,LDHC,1.7114628251895392e-18,SMC2,1.741209286229364e-53,LINC01040,7.351994782542873e-48,ARID1B,3.664501575208123e-08,CCDC88A,2.9867779591401628e-24,CFAP298-TCP10L,1.256829443385946e-49,SAT1,1.666700333474903e-14,HS3ST4,3.431538678370396e-15
EPB41,1.4268206119147315e-35,IQANK1,2.516951778040539e-18,C5orf46,2.5356489546122974e-53,LOC401357,5.727905869457053e-49,SAT1,3.860193969599411e-08,ZNF608,4.945392653721348e-24,C4orf3,1.0258726265262079e-49,ATP1A1,1.7135557424364952e-14,AGAP1,3.761810337393708e-15
TBL1X,2.913865863113627e-35,CFAP221,2.8364650194266343e-18,COA8,8.851561148890724e-53,PCDH9-AS3,2.218107000355594e-47,PRKD1,4.82756820855588e-08,UNC79,3.578934582228883e-24,RFX4,4.1367766394406e-50,JAZF1,1.9286601719700686e-14,AGMO,4.491462728586166e-15
APBB2,3.3033176140165007e-35,LOC399900,3.0662919828608433e-18,CES1,2.1199455371215246e-52,FRMD5,4.687175009633722e-48,HLA-C,5.0224971744506884e-08,TDRG1,2.4412026682429255e-23,TOMM7,3.66365213681001e-50,TBC1D8,1.8663079378050337e-14,ZNF804B,5.809149651241547e-15
LOC105373150,5.325279242184033e-35,TIMM13,3.809302781951106e-18,IQCF6,1.0586777776732588e-51,STXBP5-AS1,1.1140470792735343e-47,VIM,5.065806516378083e-08,TMEM258,2.770075237737957e-23,SPAG16,1.6737352786797234e-50,PTPRM,1.9838565884365345e-14,PRKG1,9.486339500880618e-15
TENM3,9.903304489763928e-35,PTTG1,5.6428941277853294e-18,HDAC11,1.2772407594058076e-51,LOC107986932,2.102366008908756e-47,ATRX,5.17766642551165e-08,KNL1,4.2702330766659143e-23,ALKBH7,3.258305499622202e-49,ND4,2.4631113606878772e-14,DLGAP1,1.0963921307714541e-14
ATG7,1.1849869516005557e-34,ZPBP,6.261712710712985e-18,IQCF1,7.039860619462667e-52,GCA,6.021444733081581e-47,C1R,6.447529504013958e-08,LOC100506207,3.622363044910805e-23,JPT1,5.4932464408265316e-49,LOC105375523,2.6818866475745915e-14,NTN1,2.927076902805749e-14
SECISBP2,3.01453657980184e-34,RPS20,1.1901053178842143e-17,ACTRT2,1.1028897129935169e-51,CDRT15L2,9.541879031745698e-47,RPL13,6.168006241752583e-08,ART3,5.0839883379501675e-23,ATP5MJ,9.84839636061293e-50,KIF5C,2.876559913580694e-14,DAB1,2.955703942149875e-14
CNTNAP3B,1.8987490350261523e-33,SPAG17,1.9680951002043192e-17,SOX9-AS1,4.6168211163870915e-51,ARHGAP15,1.7013204849621312e-46,MORF4L2,9.2364425079316e-08,ATP5F1E,4.4407227060870514e-23,COX6A1,2.9667870767968762e-49,TRPM3,2.978406324256554e-14,LOC105372004,2.6949432562312917e-14
SLC38A9,6.0894155860712215e-34,SLIRP,2.22889240916294e-17,NUPR2,7.200604471347558e-52,MTAP,2.068111615856589e-46,CYB5A,1.1238269339178907e-07,PARN,5.264665439891662e-23,ANKRD20A4-ANKRD20A20P,1.440640680332773e-48,MFSD2A,3.0876378121071594e-14,ZNF704,3.2069032863205075e-14
CCDC144NL-AS1,1.5640522232223576e-33,LINC02696,3.4370835819796223e-17,LOC100505502,6.813779904176978e-51,PLSCR2,3.184195203044855e-46,STARD13,1.1313158378119983e-07,amplicon-chrX-VCX/2/3A/3B,1.1452729615994726e-22,SLC2A14,1.8457506490301754e-48,WIPF3,3.038463828196743e-14,SH3GL2,4.99150078032913e-14
MEF2C,3.356079790788743e-33,H2AJ,3.1954570482739096e-17,FNDC4,5.850866949207612e-50,LYZL2,5.943756573192209e-46,PAPSS2,1.2122283583355505e-07,H4C3,1.2909984282405361e-22,ANKRD30B,5.769313985535749e-48,ND3,3.2177285714054195e-14,BNC2,4.046529723382255e-14
BIRC6,1.6942937107880145e-33,DNAAF11,6.116237265209184e-17,MYCBP,4.2127760602785998e-50,MACROD2-AS1,5.891736166374199e-46,PARD3,1.2318567133776336e-07,MICU2,2.0086488234592805e-22,LOC105373554,2.749372242799785e-48,ND4L,4.5134972744533126e-14,ZNF428,6.012978676445555e-14
TJP1,4.854863928653166e-33,KRBOX1,5.726629974039137e-17,OAZ3,2.632239852436478e-50,LOC105372768,2.6363693680782954e-45,FBXL7,1.3546123651721503e-07,SPDYA,2.0095956500609494e-22,RABAC1,2.3781500356263014e-48,SORL1,5.404010605283565e-14,ADGRL2,6.363128310391225e-14
PRKD3,2.9459873763067695e-32,DPM3,1.1893936561317308e-16,KCNMA1,2.9435308469303853e-50,LINC00226,1.2253644801257501e-45,USP9Y,1.5842341206257758e-07,SUMF2,2.65243305132992e-22,HSPA2,1.1065600361506535e-47,PIK3C2A,6.948041650415925e-14,NLGN1,5.462728839624548e-14
LCOR,3.819270224907781e-32,NDUFB9,1.1115282921273908e-16,NLGN1,1.7832196602519098e-50,ERICH2,5.173948077166038e-46,PIK3R1,1.624093192728517e-07,TBC1D19,2.815831018366335e-22,ATP5PF,4.734658782208075e-48,NFIA,6.960853224662978e-14,LOC107985242,9.956510089356897e-14
LOC100507412,5.482459832947405e-32,SEL1L2,1.7030573931593804e-16,ACAP1,3.9496474723724375e-50,CDRT15,3.341291711197193e-45,FHL2,1.635901017846495e-07,AAMDC,2.857437431337865e-22,LOC105370612,5.850543960796362e-47,ATXN1,7.001987375675648e-14,PRKCA,1.0212359090939795e-13
AGAP1,3.589580308319799e-32,LOC730183,2.1316107550351056e-16,PRKCE,2.124336271495609e-49,CSNKA2IP,1.0660730538725971e-44,RARRES2,1.6616513001461553e-07,FLYWCH2,5.329123495362433e-22,C12orf57,7.33192050906143e-47,KCNH8,7.696357423553897e-14,RGS7,1.4217180788724786e-13
NALF1,7.695542006645121e-32,GTF2A2,1.5807190928850086e-16,GPCPD1,5.490879770375102e-49,LOC101929278,1.199073343689057e-44,MYL6,1.6424989083619784e-07,BUD23,4.688859724855934e-22,SLC9C1,9.441611384895134e-47,TANC2,8.233539356949768e-14,PRUNE2,1.5985674287146424e-13
CCDC137,1.7828542031803794e-31,PTPMT1,2.8176195288514256e-16,GSTO2,1.7236519282502993e-48,LINC01350,1.0316682838224672e-44,RPL13A,1.6560967345584207e-07,LOC114841035,6.152179019086998e-22,LOC105377177,1.1121955905946067e-46,ATF7IP2,8.890994174152812e-14,GMDS,1.7536739429249553e-13
TEAD1,1.217173795692195e-30,C4orf3,3.5956517789395e-16,SLPI,2.5240866788498788e-48,NUPR2,6.027443717248552e-45,DUSP1,1.755307878080688e-07,FKBP2,6.152179019086998e-22,RPL15,3.682047388290249e-47,UTRN,9.643010600008371e-14,RBFOX1,1.8743984860927467e-13
WSB1,2.1066543906642058e-30,COPRS,4.1421239271729646e-16,GALNTL5,6.03811468191804e-49,SCRN1,6.359480651762097e-44,RPL18,1.819863464294461e-07,HSPB11,8.286773134033165e-22,SSNA1,1.3258066582980522e-46,KIAA1210,1.4340613580092117e-13,KAZN,2.0023293673295096e-13
MAP7D2,3.1352671453524632e-30,ROPN1L,7.705603132222388e-16,GJA9-MYCBP,1.7699843006358948e-48,LOC101928557,7.733455161152741e-44,DST,1.8881008957348783e-07,GPAA1,1.0127272794131745e-21,GLIPR1L2,4.2074116292110225e-46,ADCY2,1.5229622619950777e-13,COL23A1,2.767064036118451e-13
amplicon-chrX-SSX1/2/2B/344B/5/7,4.843396801979368e-30,KCNT2,9.384834933386676e-16,LOC400748,5.443035017511016e-48,CARHSP1,2.7833742800098916e-44,EEF1A1,2.0320732885216422e-07,PDCD5,9.391328439849405e-22,PRMT8,2.0490108084662682e-45,DHFR,1.1842712249486932e-13,PTPRK,2.8614616574136055e-13
N6AMT1,6.358529679772857e-30,HSPB9,1.4074277527906054e-15,SIAH1,1.4543140454529525e-48,WDR41,1.199073343689057e-44,TIMP1,2.0825469747770662e-07,VPS13B,1.5336365667131114e-21,LOC107984000,2.7942212300151843e-45,SMC6,1.471636575842568e-13,LOC101927437,2.8332430265967063e-13
GALNT13,1.1586682445647984e-29,CMTM2,1.5122936598906162e-15,EIF2B4,5.4536756654823165e-48,EPHA6,2.9897784738616327e-44,MTRNR2L8,2.233620645876811e-07,TUBB4B,2.1520103292629324e-21,CRNDE,1.4674769612072715e-45,HLTF,1.5618660847369077e-13,DOCK3,3.206921579664881e-13
EXT1,1.2426437090182983e-29,CENPW,1.5301655450339788e-15,PABPN1,3.921915717284165e-48,C11orf94,5.718411173748227e-44,LAMA2,2.5207546319294174e-07,SETX,2.7771000708357324e-21,CFAP299,4.2357964408996604e-45,FSHR,1.657603624291658e-13,TMEFF2,4.828911861192163e-13
SYT14,1.400581160935215e-29,NDUFC1,1.5100708765811387e-15,TMCO2,4.037144108228504e-48,DLX6-AS1,1.0305074474335698e-43,MYL9,2.801604898304152e-07,ACADVL,4.003253548901404e-21,CSNK2B,1.5124354992752332e-44,USP9Y,1.8977026894395743e-13,LOC101927026,6.085099613742444e-13
RPS18,3.893427280820003e-29,C11orf97,2.1603532433777954e-15,GTSF1L,7.615042330595803e-48,LOC284788,7.349866319013336e-44,IGFBP4,2.852045711491663e-07,SHCBP1L,2.4874324239082377e-21,ADAD2,3.266891317032713e-44,RUFY3,1.884922031697678e-13,LRMDA,7.105717753242069e-13
