Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
HELLS,2.0806119672236604e-31,LINC00345,1.485053866974896e-105,FGF14,2.8848548706649126e-71,GPR85,2.0193726848345046e-75,KDM5B,1.0185288057115205e-83,SPAG16,1.2472644033317451e-104,PDE4D,1.3345605150491667e-110,NR2F2-AS1,7.853663460691571e-52
VIPR2,2.769747165269105e-30,SEL1L2,2.672585510314413e-103,COL9A1,1.3344631425001943e-68,LOC107986400,1.4832553833065966e-72,LOC100507384,1.2046111830808218e-82,SPDYA,1.8200591511431155e-101,CAPN12,3.0881366061881388e-105,ADGRB3,8.86194070878917e-50
IL1RAPL1,3.1574257849343194e-27,CCDC146,7.670869605465658e-103,LOC101928012,6.452838605943121e-67,TRIM17,3.1821336001076957e-71,RALGPS2-AS1,1.1066691505967669e-82,MACROD2,1.0080538710965361e-96,PTGDS,1.57109842533184e-104,NFIA,6.0985298511940655e-49
PCBP3,7.313216504006881e-27,NEK11,6.365089812499565e-101,AKT2,1.3439942247511926e-63,STXBP5-AS1,1.4960603847349097e-69,MYO9A,1.9210286147940835e-82,DPY19L2,2.4804725635242377e-89,CST9L,3.8811862903361926e-104,APOE,1.604553217350789e-48
AUTS2,4.077887422168866e-25,LHB,4.2498653690187294e-98,RFPL1,7.321196686475015e-64,WDR41,1.926008009172873e-67,BRDT,1.252679531720739e-79,LOC105370982,2.1641245942892007e-87,SERPINA5,7.086595540994479e-104,KLF12,9.696590592997023e-49
GMDS,1.9763751071796232e-24,TTC34,7.636537451280938e-97,ZFAND3,5.462751814571323e-61,ETNK2,5.470677204017189e-67,LINC01483,3.0757935481418283e-78,LOC105379271,3.2291330658241065e-85,APOA1,7.086595540994479e-104,FOXP1,8.283404737664045e-49
STAG1,3.8758868710717835e-24,LINC01470,3.148025236072342e-96,FAM71A,1.7255106997273681e-57,SLC44A5,3.3541857923660965e-66,STRBP,1.433430763736084e-77,NOVA1,9.310798353925648e-85,SMAD2,3.0632181834818774e-101,MIR99AHG,4.817687422819602e-48
PRSS21,1.1100388487564389e-23,LOC105377110,4.62954312646847e-94,CCSER1,1.9720687108009211e-57,LRMDA,2.0764313971607984e-63,TDRG1,7.90985989599647e-76,ADAM2,2.1495633598383348e-82,ADGRL3,1.7566947484058616e-100,PDZRN3,1.0221200340902383e-47
amplicon-chrX-CT47A1/2/3/4/5/6/7/8/9/10/11/12/B1,2.896795682676079e-23,CLDND2,9.550124246121371e-93,PPP2R2B,1.2733066860149134e-56,DPP10,3.265107164633507e-63,CLCA4-AS1,1.4457496930250523e-73,LOC101928278,5.355923480440215e-82,TIMP1,3.2946682183819284e-96,FRMPD4,1.1746268165781103e-47
amplicon-chrX-CTAG1A/1B/2,7.133910146362644e-23,MIA2,1.2083262592048618e-90,LOC107984361,1.8258927958547276e-55,PI15,5.114171270521429e-62,ZCWPW2,6.4978023762589624e-74,SRSF11,5.357310782898554e-81,CARMIL1,7.902303584434188e-96,DPYD,5.900382473500509e-47
BICDL1,1.0648227511521666e-22,SAXO2,1.4492673875502675e-88,COL7A1,2.312012969961037e-55,CCDC188,3.1934949639661826e-61,PRMT8,5.837859104114551e-72,MYO9A,5.765235680598363e-79,MTRNR2L6,3.9002119593309246e-95,AUTS2,3.84091598593662e-47
TIMM29,1.296952984354478e-22,TPTE2,1.2018162237933194e-83,TBX1,5.040206276500759e-55,LOC105374894,4.901041322887292e-60,SLC4A8,5.649280110323655e-72,CC2D2B,1.494881245022179e-77,SYNE2,2.885362862831872e-91,FBXL7,3.1324018845088286e-46
FAM9C,1.391621701070117e-22,LOC105373790,6.858478406237067e-82,TRIM17,3.098278228223093e-55,LINC02507,2.2053060451915717e-59,PHF7,4.132623441563312e-71,LOC105376107,4.798959333457714e-78,MIR202HG,6.50082241086402e-88,LINC-PINT,2.9106341871251223e-45
LOC105372666,1.3753789655624538e-22,KCNU1,3.8252776414286385e-82,LOC107984615,9.53958434948675e-53,PPP2R2B,2.634885986628715e-57,GTSCR1,9.019034508700355e-69,PABPC1,3.7162403085526344e-77,SPARC,1.7409168509505956e-87,RUNX1T1,3.968457315691173e-43
HMGB2,1.5384813102830226e-22,GEN1,1.6314625120717543e-81,HLA-G,1.714355586625644e-51,C16orf92,1.646623767337676e-56,GIHCG,2.6559232255661995e-66,SLC9C1,1.294703919321557e-75,BBX,1.8039674758123008e-87,IGF1,2.9017361200799576e-42
FOXD3-AS1,4.671440625422991e-22,CFAP157,1.248343374860756e-80,TNP2,1.56919690011981e-51,LOC107984555,2.1340696994869537e-56,ANKRD7,5.20844402623405e-64,PARP9,1.0551695119890339e-74,INHA,4.337956316820363e-86,NR2F2,7.749279241168822e-42
NSD1,8.236770503308631e-22,LOC105378415,8.994409680848655e-79,EYA1,2.0198185677069124e-51,LOC105377999,6.315484991800794e-56,DNHD1,1.8687687965734372e-63,LOC440910,2.466632379852136e-72,ARL15,8.852148770073707e-85,FOXP2,2.1710237518842823e-41
amplicon-chrX-CXorf49/B,1.0996032831119432e-21,GACAT3,2.0662947327453284e-78,LINC00442,7.826584459427051e-47,TMCO5A,5.846720326186997e-56,LINC02583,4.670595321909811e-63,STRBP,8.973736260244031e-73,GSTM3,1.4966866695595152e-84,BICC1,2.8967086426440577e-40
DYNC2I2,1.7682738221729522e-21,MAPK10,1.8896755894394064e-79,P2RX3,1.3215151349539309e-46,LOC101929140,5.450122261676479e-55,ART3,3.4738125667885363e-63,AK9,1.458309308904559e-72,COL18A1,3.064592008067651e-81,PARD3,4.955256654679977e-40
SDF2L1,5.008326305388563e-21,ULK4,2.3528384164136292e-79,GSTCD,1.9408270280198574e-46,CCDC91,1.2346374917901812e-54,GNAO1,9.872453464985757e-63,LOC107986487,3.383306647096135e-72,CADM1,3.9778032982451657e-82,EXT1,2.870252490080373e-39
MEI1,6.652961232575811e-21,ZBBX,3.85773592930786e-77,DCAF12,3.544163688682133e-46,INPP4B,3.652175399094441e-54,FLT1,7.268750105988801e-63,CCDC144A,1.0685662398322824e-72,LUC7L3,2.3315778350181696e-80,PRKG1,9.867086149361004e-39
LRPAP1,7.485607824193228e-21,LOC101929298,5.086881006398508e-76,COL5A3,2.817577131583766e-44,FAM186A,2.527092191566907e-54,SPAG16,7.558325520291517e-64,LINC02337,4.536409455260064e-74,AMH,1.0046659782109937e-77,PTPRG,1.4045424053231638e-38
HMGB1,6.652961232575811e-21,CHODL,5.725845321712427e-76,MAP1LC3A,1.8237120003202984e-42,TMEM190,5.0661269194552337e-54,LOC107986766,4.974541673160706e-62,SHCBP1L,1.8556899598656493e-71,PSAP,3.1199395225877833e-77,SPTBN1,2.1350695226752552e-36
ADGRA1,5.2146794372674753e-20,DKKL1,3.7022123562664646e-75,FLJ46875,4.853196897735521e-42,LOC107984782,1.178340144000507e-53,MLLT10,1.7982645319445491e-62,AP4B1-AS1,4.255257044852541e-71,MAP1B,5.7317759035078535e-77,NEAT1,1.5518392319155713e-35
KAZN,4.847391996262574e-20,TEX51,1.6201226565347494e-72,LOC101927151,3.1799191253628576e-41,TEAD2,3.738842865782751e-53,LOC101927284,2.4838127300729734e-62,CRB1,1.3669171605905108e-70,MTRNR2L10,1.945388913028885e-75,GREB1L,2.5345246819045635e-35
THAP7,1.0054240157993934e-19,ITGA8,3.5805996573505955e-72,LINC00674,2.7018793324788675e-41,SHROOM3-AS1,2.42448374166566e-53,BCAS3,3.5816259314666204e-62,RALGPS2-AS1,7.176602201835375e-68,PRKD1,9.609700738502051e-74,LHFPL6,1.894820673877791e-34
IQSEC3,1.645240684046758e-19,COLEC10,5.435127827673425e-71,SIRT2,9.457182544092893e-41,LINC00674,1.854951012112863e-53,MGC4859,3.542917856440749e-61,LOC105377604,3.2291284810967775e-66,MTRNR2L1,5.970960051802538e-72,ZNF704,3.2489056229655014e-34
amplicon-chrX-GAGE10/1/2A/13/12B/12C/12D/12E/12F/12G/12H/12J,3.6017227181283395e-19,CDIPTOSP,1.1578341688782543e-70,LOC105370582,1.7763189003769547e-40,MCRIP1,3.5647924452244944e-51,COX7B2,2.2141613524198235e-61,SPATA16,3.4202074940871515e-65,RUFY3,1.412932268264181e-70,ADGRL2,2.9843076491111686e-34
GPHN,8.219936711857487e-19,RYR2,4.770149553200457e-71,ETNK2,1.8977636698806466e-40,LINC01088,4.4046598628822127e-51,LOC112268145,2.1543799241490242e-60,LOC105379164,9.244398015873821e-65,SPINK2,6.044347753707988e-70,MIR100HG,5.916162597337273e-34
TEX15,1.1211388310212744e-18,CIB4,1.3044183082602492e-66,TTLL2,8.559323417547662e-40,WBP2,1.2639280024389508e-50,SETX,2.1262396057833148e-60,SLCO6A1,1.8331742271127899e-65,DIAPH2,4.783670498368058e-69,LOC107986022,7.970586527291709e-34
UBE2E2,1.2770870761715176e-18,FAM227B,2.1950901535429972e-67,C5orf60,1.2188171858124762e-39,LINC02741,2.1522880843119464e-50,TSEN54,1.7978328706266758e-60,CENPP,1.323100745811047e-64,TSPAN5,4.476932360726165e-68,ARID1B,1.8575811937349167e-33
PKMYT1,1.620032562289698e-18,PLSCR2,1.003566920224066e-65,LINC01317,9.348409432643048e-40,GABRG3-AS1,3.322681282962512e-50,SPDYA,5.015133846162101e-60,C1QTNF3,1.3996960611505073e-64,SNRNP70,3.000818724592398e-67,MBNL1,6.864586741991051e-33
TM2D3,1.8990461690636097e-18,LINC01743,4.0585644008966147e-64,LUZP2,8.826765738798671e-39,CEP152,2.5330023614892436e-50,PTPN22,9.005588373213326e-60,LARP1B,4.0136261510515286e-64,QKI,5.746580642146637e-66,TBL1XR1,8.561150032136997e-32
MACROD1,2.0663371576389275e-18,C1orf105,1.883929789044093e-63,TNIK,8.946031326218687e-39,DRICH1,4.94963643824336e-50,CEP128,2.5217940410386222e-59,ANKRD20A1,3.2865817473567445e-63,TSPYL2,1.4316423439830344e-65,LINC02456,1.9655949318680741e-31
ARL6IP4,2.252721814808749e-18,LINC01500,1.1112883690063389e-63,DPY19L1,3.778416522980189e-37,COL9A1,5.159078432759772e-49,AP4B1-AS1,3.4590008914814864e-59,ADAM18,5.5189319041696905e-62,ATP6,1.712949313933832e-65,TCF4,2.1562096478235573e-31
CLSPN,2.9217775257337362e-18,DNAH12,6.62024393089905e-64,PPARGC1A,3.897223126643149e-37,CSMD1,6.461789119579318e-49,ZMYND10,2.665674595796901e-58,ANKRD62,1.9621618941201148e-62,REEP1,6.704996757214074e-65,PLPP3,3.5053930622069662e-31
BAHCC1,3.4683283801740667e-18,MROH9,3.838664774127062e-63,PHACTR1,4.3424678774479044e-36,KLHL7,2.133183936150736e-48,SCMH1,4.703481355521694e-58,BCAS3,1.2180515599945519e-62,SAT1,1.973509093540313e-64,ABCA1,6.061052326070091e-31
LOC101927026,3.9293336587481585e-18,TPTE,3.127364741683084e-63,KLHDC3,8.908115339121895e-36,RUNDC3B,1.6659254925250652e-48,RFX4,6.450935120098608e-58,CATSPERE,1.8524884442787964e-61,NDRG4,1.9411014469272098e-64,TGFBR3,5.688025684570725e-31
SLC52A2,1.1270086967897182e-17,CABCOCO1,3.4748608729780375e-63,SCP2D1,1.1275115532026052e-35,USP6,1.173346885379792e-47,ATP8B3,1.1159502888480695e-57,C1orf167,1.7739313332849884e-59,MYO6,1.4667850698149263e-64,DLC1,3.467314857485135e-30
TEX11,1.0826512063613362e-17,CCDC18,2.2101220696272838e-62,BRD9,1.0024063839001847e-35,LPP,1.6687016611224732e-47,CYP19A1,2.607791907719828e-57,ZCWPW2,2.7372480649611917e-59,CST3,1.5085997269291856e-64,NAALADL2,9.132360366154794e-30
GCNA,2.0769082331103353e-17,EFCAB11,3.5845825362019862e-62,MYO15A,2.0777945764688884e-35,LINC01743,1.9848861624264374e-47,SYCP1,1.314395408917115e-56,SPATA22,1.0182652450815579e-57,NCOA2,3.5929637916239517e-63,MAML2,2.4114206932204898e-29
LOC107986755,2.748221922353625e-17,LINC00472,1.845872115672629e-61,WDPCP,1.8248286343353557e-35,PFN2,4.1052498705209268e-47,C22orf15,1.0530719959055628e-56,STRC,6.427714570913812e-57,KTN1,7.201346907708569e-63,BCL2,2.8639894965575755e-29
GABRG3,2.949868293273376e-17,TMEM232,1.8000111780024115e-61,HLA-A,2.5035734333998005e-35,BRD9,8.6351519481118565e-47,LOC105377604,1.552876719949181e-56,C22orf15,4.5384678351807476e-57,DCAF8L2,1.277043843645342e-62,MAMDC2,7.950637630720023e-29
ARRDC1,4.917108035223291e-17,LOC105373449,8.323305151545212e-61,TBC1D26,8.060626700955964e-35,PPARGC1A,8.816443078399468e-47,HORMAD2,6.088923726905157e-56,GPATCH2,6.714665913855371e-57,CTSV,2.2068645801953965e-62,GTDC1,7.628022831254858e-29
LOC105370108,5.425993515389374e-17,EFHC1,3.8274802863248943e-60,HDAC7,1.8705658303335088e-34,LOC105375789,4.9971930705908344e-46,HORMAD1,3.1356341793784876e-54,CCDC38,1.7554371846688087e-56,TJP1,8.446578901378445e-63,NRG3,1.3334399171702079e-28
DDOST,5.228565859701662e-17,CFAP52,5.707800401030585e-60,TMEM191B,1.7315095691743758e-34,TAX1BP3,7.83538882477326e-46,SYN2,4.3639242261486217e-54,LINC02492,3.878721511865922e-57,NFIA,6.305191200734693e-63,FIGN,2.021116297627646e-28
TTC28,7.101106952604878e-17,CCDC178,2.5561270917193087e-60,OIP5-AS1,1.2004223933697636e-33,NFIC,4.472417317386421e-46,LINC01206,9.932582283502136e-53,TSBP1,1.2541611567958938e-56,ZBTB20,8.362403518568537e-63,ZFPM2,2.2287117030303036e-28
ZCCHC7,7.755563209987973e-17,KIAA0825,4.713067400856285e-59,LTN1,2.9252027686287462e-33,LOC101928012,3.227050496194179e-45,KCTD19,5.1804895545891004e-51,FUT8,1.0879319155237674e-56,COX1,1.823682317760082e-61,LTBP4,4.104317210765529e-28
SYCE3,9.509127109697888e-17,RMST,1.0538964786230604e-57,SBF2,2.593957330340543e-33,KCNH8,4.359288923239285e-45,CATSPER2,5.213324189006028e-51,LINC01618,1.0006698930144722e-55,BCL2L2-PABPN1,2.836745455108097e-61,ADAMTS9-AS2,4.174990664318358e-28
HAUS5,1.011568808041275e-16,WARS2,8.439208180175848e-58,SMG7-AS1,4.013271438392514e-33,IQCM,1.34778566396055e-43,IFT122,1.3242879225145994e-50,GRIN3A,1.5571924280967682e-55,HNRNPA2B1,5.112699773492181e-61,FBLN5,1.6481481884844486e-27
SMC3,1.8993440887190488e-16,C4orf45,9.838187553187707e-58,COL11A2,1.1302702050703353e-31,PHACTR1,9.507883127412208e-44,PABPC1,2.907071816002007e-50,FAM126A,1.0474713976917697e-55,SHOC1,6.508959274002606e-61,CFD,2.0923373973600832e-27
SYCP3,2.1232482170612338e-16,CCDC24,9.689946740982838e-57,TARS3,1.258133813529413e-31,PRICKLE3,2.778790091562126e-43,NOVA1,3.570570756908291e-50,LINC00907,6.9972504000612e-56,LMAN2,4.192720646196384e-61,PTCH2,3.377010487582567e-27
PTPRM,3.090180455394293e-16,SLC16A4,2.7248414541575302e-56,LOC101928278,1.8178528356473715e-31,FRMD5,2.109217235361234e-43,ADAM2,1.2559705473658406e-49,LOC105373454,2.793612600522526e-55,GRB14,1.1668236310424701e-60,ZNF521,4.611761201847513e-27
ATP11AUN,4.3541801120398313e-16,KCNT2,6.746275019424269e-55,RFX3,1.375171723507018e-31,CTNND2,3.0599331659764218e-43,LINC01507,2.137729734040383e-49,LTA,8.799839123755806e-55,GAS6,4.0477541208346105e-60,LURAP1L,9.107230143214347e-27
EIF1B,4.676797547461017e-16,CFAP43,8.086126170521753e-55,ZNF330,3.7805190138858114e-31,ATF5,3.9893628305517916e-42,SYCP2,2.014390116814636e-49,GCSH,3.603161050917779e-54,CITED1,6.219735935240677e-60,TNRC6B,9.23258964123255e-27
C11orf80,5.398371750878396e-16,CASC2,1.9598194333145696e-54,CCNY,2.9142655074165487e-31,P2RX5-TAX1BP3,1.098511265724253e-41,LOC105376107,1.736773228945631e-49,RABGAP1L,3.3845460629105555e-54,TRPM3,3.584624204967782e-58,PARD3B,1.2496113889256446e-26
CENPX,7.162293081954674e-16,DNAAF11,1.8671232243644574e-54,C20orf173,4.436598128463848e-31,LINC01499,2.055989286495291e-41,MIR4713HG,7.96627460173256e-49,RRP8,2.3806953619960725e-53,TF,4.2405697658506364e-58,LDLRAD4,1.5062362452654252e-26
SDK1,8.226284465142457e-16,DNAH7,1.7160271393356245e-54,MAPK3,1.3361411393148499e-30,LMNTD1,5.701142239899095e-41,SRSF11,2.2554951729006595e-49,SOX6,1.2689450582915824e-52,MAN2A1,4.5873305931564e-58,SETBP1,3.40938069166612e-26
amplicon-chrX-XAGE1A/B,9.441492903127763e-16,DCST1,7.980724506428572e-54,PGGHG,2.2062741308450425e-30,CCDC183,1.6937773411991613e-40,LINC02492,3.1778073138400102e-49,LOC105379207,6.4896155773319396e-52,GRID2,5.4842140499880434e-58,APBB2,2.2878622871693762e-26
GPAT2,9.757959679037482e-16,GOLGA8B,8.291089925175009e-54,FAM186A,1.9870066512903182e-30,SYT16,2.4813788409779657e-40,TAF9,6.36325377926313e-48,METTL15,1.6578809742489483e-52,COX2,3.233500182941347e-57,SMOC2,4.609501623079449e-26
CMSS1,1.2867919151052869e-15,LOC105370214,2.7194638907306176e-53,DACT3,4.132763019973692e-30,ASGR1,7.126560792050094e-40,REXO5,6.356728850806472e-48,LINC01517,8.058658049809575e-52,L3MBTL4,5.729967144380587e-58,COL6A1,5.592707713131569e-26
TERB1,2.3986273998399048e-15,ENOX1,1.9580106030279578e-53,PCBP4,5.477241568018163e-30,GID4,1.487605263923247e-39,HFM1,6.231643337404056e-47,GLIPR1L2,2.4119778594717374e-51,CLDN11,1.0463555658806143e-56,VGLL4,5.540174674977623e-26
RBM44,2.4550755768920664e-15,IQCH,3.8153617534322256e-51,CALCOCO1,6.781913879735187e-30,HIPK2,2.0596504088459394e-39,ANGPTL1,2.2334729821686336e-46,LOC107985704,5.082582875225725e-51,ITM2B,9.731445231643161e-57,EFNA5,6.236672560208654e-26
STRIP2,2.8756808548075985e-15,LOC101929492,5.372357141772896e-51,NKAIN3,8.386349117281477e-30,GOLGA8G,2.7652796166096214e-39,ZBTB32,6.4747154565672394e-46,CYP19A1,3.479385394173014e-51,ISYNA1,3.4230952098910684e-56,NKAIN2,6.575147349562182e-26
U2SURP,2.8756808548075985e-15,CADM1,4.483631511431313e-51,LOC105375530,1.616895127836453e-29,LINC01500,1.8826268863453135e-39,RAD51AP2,1.4221729041992792e-45,PDE3B,4.1260390043201745e-51,MPZL1,5.04592362621978e-56,GUCY1A2,2.069929161017401e-25
OPCML,3.391791224324401e-15,TMEM231,3.560217715803958e-50,LOC100289470,1.7364955929838983e-29,ABLIM1,2.36981429738248e-39,GRIA4,2.4773073733721796e-45,CFAP299,1.7338564523722458e-51,BMPR1B,4.9387470105213615e-56,DAB2,2.5844494163837945e-25
ATP9B,3.494337195487826e-15,LOC105373835,4.1694189596258654e-50,GIGYF2,1.4137230409332565e-29,SAMD4A,1.0260567773793197e-38,LINC01517,2.4461986599390566e-45,ANKRD18B,1.901498778174116e-50,ARHGAP26,4.577210277545414e-56,PELI2,8.011313862222637e-25
VRK1,4.286527595929402e-15,ZNF407,1.1742933194902449e-49,LOC105377207,2.3247227607400873e-29,LINC01697,2.744416114860268e-38,ATRNL1,2.6888031712666973e-45,DYDC1,2.147504096080767e-50,SCML1,9.688302915080556e-56,IGFBP6,9.414069902262064e-25
REX1BD,4.524737305892364e-15,SPEF2,1.8057255186998018e-48,LOC107986400,1.7364955929838983e-29,MINDY2,4.13042387678847e-38,CFAP299,2.546462814506262e-45,NME8,6.190560000343507e-50,SMIM1,1.36415944050223e-55,ZEB1,1.818413802084604e-24
LINC01572,4.685142474081198e-15,LOC105374724,6.443750934540984e-48,LOC105379172,2.2183581922724615e-29,EQTN,6.487813093097461e-38,PIBF1,1.581724828241474e-44,FLT1,2.7705548666254657e-50,ZDHHC14,2.4189848795694274e-55,COL6A2,2.4664015781779423e-24
DAZL,5.571186325348268e-15,STAT4,1.3126713163138003e-47,C22orf42,5.254942649100506e-29,CDYL,8.003472394264265e-38,LOC105377097,5.111746913627833e-44,LINC01478,3.069452639848597e-49,SMC6,7.14452663912984e-55,B2M,3.068571389713411e-24
LINC00922,5.880084697147042e-15,ADGB,1.619182819499747e-47,ODF3L2,1.744596902143823e-28,FER1L5,1.0806737321681275e-37,C1QTNF3,2.0081617731636056e-43,POTEC,8.829444669664908e-49,DDX24,1.2473668877440866e-54,C1S,5.402980529356314e-24
HSP90AA1,6.413516407405374e-15,NRG4,1.2464449647440773e-47,C20orf144,2.020801173343712e-28,TLR7,2.892212302699657e-37,AGBL4,1.423685063883554e-43,ACTR3B,4.2945171386602255e-51,RSRP1,7.483003888759888e-55,MYH11,6.627980041196198e-24
NPRL3,7.444840462570229e-15,RIMS1,3.385107118170388e-47,SGK1,2.379017063151883e-28,ZFAND3,2.923693091953143e-37,DPY19L2,8.18194461287731e-42,MLLT10,2.6376150255205953e-49,MCF2,5.23932495306906e-54,MAGI1,6.877386955866186e-24
amplicon-chrY-VCY/1B,8.105863109576583e-15,TESPA1,1.0312215008158257e-46,NUBPL,3.1230251761014063e-28,LINC01931,9.124645261571308e-37,LINC01518,1.4734905418874403e-41,CDK19,2.0449324965537237e-49,REEP6,4.459617050257641e-54,TRPS1,8.806836964862717e-24
CACNA1B,1.0056253641705138e-14,MEIKIN,1.192064828758164e-46,EFCAB13,8.41606199433096e-28,RHBDD1,7.4232506044914165e-37,LOC105371121,2.0502484502181458e-41,ARHGAP15-AS1,2.6735686018746362e-48,ACSS3,5.156045442161354e-54,UBE2E2,7.5725627510194e-24
RERE,9.884812589225136e-15,TSBP1,9.351498968432176e-47,LOC102724723,2.553248919461148e-27,LRRC72,1.1086046288209291e-36,TEX101,3.235946266699986e-41,HORMAD2,3.411309346280994e-48,PRKCB,3.393569199770571e-54,NAV3,9.770696814207782e-24
RPL10A,1.3255348431864258e-14,ACRBP,1.4511258369616225e-46,SNX29,1.839535942939896e-27,GOLGA8S,1.232581404787301e-36,LINC00993,7.647049847758888e-41,FGGY,6.001284035756238e-48,RPL37A,3.126810863152323e-54,SPTBN1-AS1,1.3334642216984277e-23
CYC1,1.3416198882082352e-14,LOC101929006,4.859844059577025e-46,SLC25A41,3.0218606104267854e-27,LOC105375409,2.073787486992584e-36,RBMS1,3.4984636396285576e-40,KCTD19,2.780926674952784e-47,KIF21A,1.321477250804188e-53,FLRT2,2.024807455622206e-23
RPS6,1.871330073751496e-14,LOC107984755,4.8396807493780465e-46,ANKS1B,1.839535942939896e-27,GSTK1,3.59373770381334e-36,LOC102723370,1.8742200725627136e-40,C15orf48,6.313795957347883e-47,RBBP7,1.7021408933232077e-53,MALRD1,1.4884217974764773e-23
MAGI1,1.8929887630031398e-14,CCDC60,7.358912737491395e-46,EMC10,8.57687058401587e-27,KCNMA1,5.020091538635468e-36,CAPS2,3.184248801854135e-40,ZBTB32,1.485028631898047e-46,TMSB10,1.8078659046780905e-53,GSN,2.1519525170669777e-23
IQCB1,2.0697337120419348e-14,CFAP91,1.9615886262955298e-45,TSPAN1,1.6411341430455684e-26,LINC02223,9.337103452250976e-36,MDC1,6.0573111542455675e-40,LOC105378690,1.2463594729915856e-46,TANC2,2.221760962691297e-53,NR3C1,3.3237933433538324e-23
MED27,3.3243332043802296e-14,DNAH6,2.891391637936677e-45,LOC105372499,1.842317956354154e-26,LINC02789,1.2157202191324177e-35,ZNF302,5.983133252813248e-40,LINC02583,1.6036050977052845e-46,PLCB4,1.1170260381659408e-52,CELF2,3.535488653141608e-23
PRAME,3.6554201874063885e-14,VWA3B,6.163958889822201e-45,ZC2HC1B,1.6550110092386623e-26,LOC105377675,3.9187504931046787e-35,COMMD4,8.898949616251797e-39,ANKRD20A4-ANKRD20A20P,5.351854497887409e-46,GLB1L3,2.7972977127153067e-52,FAM13A,4.3234307943495876e-23
CHID1,3.8756282997732925e-14,MMS22L,2.8684993464953825e-44,TEX37,2.4597939169048635e-26,GOLGA2,2.408722014058525e-35,LOC105379364,7.690659619833107e-39,CTXN3,9.740334541214641e-46,KCNK13,2.4251588957985206e-52,NRK,5.607423877865507e-23
